kind,path,sha256,task_id,condition,source_loading_seconds,receiver_loading_seconds,mapper_initialization_seconds,checkpoint_load_seconds,started_epoch,completed_epoch
mapper_checkpoint,primary/tasks/atcoder__abc366_g/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_FIXED_M.json,8bf4db7735fe636ee26e3008d4bc0f447403c27998bf19ec90997d96452032b0,atcoder/abc366_g,FIXED_M,,,,0.5103211610112339,,
mapper_checkpoint,primary/tasks/atcoder__abc366_g/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_ROTATING_H.json,dfaded7ad600f6ad038f52db13c0c86fb75cce15041097999df040df2f58d550,atcoder/abc366_g,ROTATING_H,,,,0.47831846587359905,,
mapper_checkpoint,primary/tasks/atcoder__abc366_g/mapper_loads/9hlpwazgwe1flj_generation_1_1789832656469872527_ROTATING_M.json,38cd41336d9926dab2c05c3cecc8be7ca5afffcd1a0b2cc56cb672841f3672d1,atcoder/abc366_g,ROTATING_M,,,,0.5214604779612273,,
mapper_checkpoint,primary/tasks/atcoder__abc367_b/mapper_loads/xnm5v7v3p05b0x_generation_0_1789852543547327728_FIXED_H.json,0fe126e853a30bcf91aa829a6f53952d8cf084675b694a707c20799bdbc653e9,atcoder/abc367_b,FIXED_H,,,,0.4831041300203651,,
mapper_checkpoint,primary/tasks/atcoder__abc367_b/mapper_loads/xnm5v7v3p05b0x_generation_0_1789852543547327728_FIXED_M.json,dd91e2f7eb706345f0d42033b5acd4833581c8b7bc6ebf622b2a7902cb652543,atcoder/abc367_b,FIXED_M,,,,0.4862459299620241,,
mapper_checkpoint,primary/tasks/atcoder__abc367_b/mapper_loads/xnm5v7v3p05b0x_generation_0_1789852543547327728_ROTATING_H.json,871fe71efd81797d693880148b41898d5f0a269b20dae125798b0162d5afdde5,atcoder/abc367_b,ROTATING_H,,,,0.4727020189166069,,
mapper_checkpoint,primary/tasks/atcoder__abc367_b/mapper_loads/xnm5v7v3p05b0x_generation_0_1789852543547327728_ROTATING_M.json,c89f23a4cdba200177af73772c0b903cc8a672a60cb6caeb10d2146c509b8f9f,atcoder/abc367_b,ROTATING_M,,,,0.4723224719054997,,
mapper_checkpoint,primary/tasks/atcoder__abc367_e/mapper_loads/nv36660gsdcw11_generation_0_1789824988462409312_FIXED_H.json,8ed382e1ebb73ca0caf25a4ef82c6979b031d0698ee3a8ff97b505dff566b01b,atcoder/abc367_e,FIXED_H,,,,0.5740425977855921,,
mapper_checkpoint,primary/tasks/atcoder__abc367_e/mapper_loads/nv36660gsdcw11_generation_0_1789824988462409312_FIXED_M.json,ffed75720168d11f48977843336648d29da6f26b735114aed39a94db98d5fd3d,atcoder/abc367_e,FIXED_M,,,,0.5656991805881262,,
mapper_checkpoint,primary/tasks/atcoder__abc367_e/mapper_loads/nv36660gsdcw11_generation_0_1789824988462409312_ROTATING_M.json,9a3e1a448d4e2eb555fd6ff739af4eeeed3785e9f0f641c144551d78e3107172,atcoder/abc367_e,ROTATING_M,,,,0.37375993467867374,,
