condition,draws,tasks,passed_draws,missing_draws,point_estimate_complete,pass_rate,ci95_lower,ci95_upper,possible_mean_lower,possible_mean_upper
A,600,200,386,0,True,0.6433333333333333,0.575,0.7083333333333334,0.6433333333333333,0.6433333333333333
B,600,200,330,0,True,0.55,0.4816666666666667,0.6183333333333333,0.55,0.55
D,600,200,390,0,True,0.65,0.584875,0.715,0.65,0.65
P,600,200,154,0,True,0.25666666666666665,0.20166666666666666,0.31333333333333335,0.25666666666666665,0.25666666666666665
FIXED_M,600,200,114,0,True,0.19,0.14166666666666666,0.23833333333333334,0.19,0.19
ROTATING_M,600,200,175,0,True,0.2916666666666667,0.23333333333333334,0.35,0.2916666666666667,0.2916666666666667
FIXED_H,600,200,191,0,True,0.31833333333333336,0.25833333333333336,0.37833333333333335,0.31833333333333336,0.31833333333333336
ROTATING_H,600,200,229,0,True,0.38166666666666665,0.32,0.445,0.38166666666666665,0.38166666666666665
