task_id,seed_index,answer_seed,perfect_seconds,removed_prefill_seconds,perfect_passed,A_minus_perfect_seconds,B_minus_perfect_seconds,D_minus_perfect_seconds,ROTATING_H_minus_perfect_seconds
leetcode/3731,0,5674809076917256414,159.15135535039008,0.2448140410706401,True,12.492274065501988,-56.00427960045636,0.2448140410706401,-1.0421422342769802
leetcode/3731,1,4604223465193410274,159.43111224891618,0.2448140410706401,True,12.072614840697497,-57.82099907612428,0.2448140410706401,-1.5917658545076847
leetcode/3731,2,2555872696271698909,159.73037108080462,0.2448140410706401,True,12.265974392648786,-55.702793209347874,0.2448140410706401,0.11422896431759
atcoder/abc392_b,0,6608451967869727679,195.91861601220444,0.33395160688087344,True,2.1734169120900333,-93.89713711338118,0.33395160688087344,13.585763194598258
atcoder/abc392_b,1,2475030620541058730,210.78487307671458,0.33395160688087344,True,-12.667481245007366,-122.29672418441623,0.33395160688087344,-14.669296415988356
atcoder/abc392_b,2,6989948243947249292,210.86448275158182,0.33395160688087344,True,-12.709770858287811,-122.3873477508314,0.33395160688087344,-14.854017052799463
leetcode/3654,0,602084874883417181,1159.373211198952,1.9072927027009428,True,22.839115023612976,-535.4349999302067,1.9072927027009428,22.008366659283638
leetcode/3654,1,943976282607590731,1159.8099340153858,1.9072927027009428,True,23.46265650121495,-532.5723433513194,1.9072927027009428,6.1608119970187545
leetcode/3654,2,7159551641797007237,1163.8979366151616,1.9072927027009428,True,19.478622232098132,-541.0162066379562,1.9072927027009428,-7.002257819287479
atcoder/abc371_b,0,3726506164427384425,106.0022940528579,0.19240901712328196,True,3.0936682620085776,-29.843674085568637,0.19240901712328196,18.53567256964743
atcoder/abc371_b,1,4741880365530631660,106.42000992083922,0.19240901712328196,True,2.6855872943997383,-30.267639317084104,0.19240901712328196,18.72901686001569
atcoder/abc371_b,2,5692299156679670591,106.02328934939578,0.19240901712328196,True,3.0686029349453747,-29.87498986395076,0.19240901712328196,18.614317880943418
atcoder/abc388_f,0,11793581361582672,1317.415619239211,2.4015919910743833,False,19.24365581991151,-679.6506241625175,2.4015919910743833,0.6188382473774254
atcoder/abc388_f,1,6592405180324848156,1317.0666479552165,2.4015919910743833,False,15.683387871365994,-681.2888760566711,2.4015919910743833,46.665422106161714
atcoder/abc388_f,2,5033548698845297352,1315.0844297972508,2.4015919910743833,False,20.520977187901735,-679.1209476529621,2.4015919910743833,34.836459409445524
atcoder/arc195_a,0,8038887626160829019,1278.2975344937295,2.171423038933426,True,21.385490412358195,-542.4989274786785,2.171423038933426,134.5031522582285
