condition,passed,draws,missing,pass_rate,quality_lower_bound,quality_upper_bound,mean_stage_seconds,source_token_index_mean,receiver_prefill_tokens_mean,receiver_reasoning_tokens_mean,answer_tokens_mean,total_generated_tokens_mean,source_prefix_accounted_seconds_mean,receiver_prefill_seconds_mean,receiver_reasoning_seconds_mean,answer_seconds_mean,bridge_seconds_mean,clone_seconds_mean,transfer_seconds_mean,answer_output_characters_mean
SMALL_ONLY,96,120,0,0.8,0.8,0.8,533.1461444221495,0.0,509.025,8814.5,636.975,9451.475,0.0,0.6601746656058822,492.9010290186212,39.4995188309326,0.06009861903342729,0.025154357665451245,0.00016893029096536337,2707.866666666667
H10,96,120,0,0.8,0.8,0.8,628.3724343093679,865.525,1374.55,7941.125,612.625,9419.275,139.23360440726827,1.7353187093453015,450.64585098634996,36.67391853403048,0.05963345217945364,0.023886551387840883,0.00022166880662553013,2667.95
H25,95,120,2,,0.7916666666666666,0.8083333333333333,765.4654076054503,2164.425,2673.45,6585.2,600.575,9350.2,350.1877297082989,3.494313170859823,375.8410033697408,35.86085553437394,0.059452739922562614,0.021740283332959128,0.00031279892136808484,2630.8
H50,105,120,3,,0.875,0.9,1050.4025512368758,4329.325,4838.35,4845.3,613.7916666666666,9788.416666666666,716.0920100999472,6.770858197979396,290.13903492709215,37.32203505138653,0.06007753231097013,0.018072660433244892,0.0004627677262760699,2680.733333333333
H75,105,120,3,,0.875,0.9,1285.5609585881703,6493.925,7002.95,2264.05,619.1666666666666,9377.141666666666,1100.2029549135464,10.522368270816514,137.28443442401476,37.47064813162045,0.05923541212105192,0.02071269238367677,0.0006047436676453799,2705.4583333333335
FULL_TEXT,106,120,3,,0.8833333333333334,0.9083333333333334,1555.9879484765231,8659.075,9168.1,0.0,617.625,9276.7,1504.1240403520671,14.758995090521058,0.0,37.02852369999455,0.05965969935059547,0.01597429099492729,0.0007553435949375853,2699.7083333333335
LARGE_ONLY,106,120,2,,0.8833333333333334,0.9000000000000001,1612.4408707490668,8659.075,0.0,0.0,592.6416666666667,9251.716666666667,1504.1240403520671,0.0,0.0,108.09552411570718,0.17846973922375278,0.04283654206859258,0.0,2609.725
